id,name,stars,cuisine,address,arrondissement,latitude,longitude,website,wikidata_url,michelin_id,michelin_url,description
kei,Kei,,,,1e,48.8644,2.3421,https://www.restaurant-kei.fr/,http://www.wikidata.org/entity/Q84768921,ile-de-france/paris/restaurant/kei,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/kei,restaurant in France
l-arpege,L'Arpège,,French cuisine,,7e,48.8557,2.317,https://www.alain-passard.com/,http://www.wikidata.org/entity/Q6455598,ile-de-france/paris/restaurant/arpege,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/arpege,"gourmet restaurant in Paris, France"
la-grande-cascade,La Grande Cascade,,,,16e,48.86262528,2.240459451,https://www.restaurantsparisiens.com/la-grande-cascade/,http://www.wikidata.org/entity/Q108831635,ile-de-france/paris/restaurant/la-grande-cascade,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/la-grande-cascade,"restaurant in the Bois de Boulogne, Paris"
laperouse,Lapérouse,,,"51 quai des Grands-Augustins, 75006, Paris, France",6e,48.8551,2.34159,http://www.laperouse.com/,http://www.wikidata.org/entity/Q6488471,ile-de-france/paris/restaurant/laperouse,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/laperouse,restaurant in Paris
lasserre,Lasserre,,French cuisine,"17 avenue Franklin-D.-Roosevelt, 75008 Paris, France",8e,48.866324,2.309921,http://www.restaurant-lasserre.com,http://www.wikidata.org/entity/Q3218349,ile-de-france/paris/restaurant/lasserre,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/lasserre,"restaurant in Paris, France"
le-faham,Le Faham,,Réunionese cuisine,,17e,48.8855,2.3118,https://lefaham.com/,http://www.wikidata.org/entity/Q84254070,ile-de-france/paris/restaurant/le-faham-by-kelly-rangama,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/le-faham-by-kelly-rangama,restaurant in France
le-grand-vefour,Le Grand Véfour,,,,1e,48.8661,2.3379,http://www.grand-vefour.com,http://www.wikidata.org/entity/Q2896854,ile-de-france/paris/restaurant/le-grand-vefour,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/le-grand-vefour,restaurant in France
le-pre-catelan,Le Pré Catelan,,,,16e,48.8639833,2.25061111,http://restaurant.leprecatelan.com/,http://www.wikidata.org/entity/Q3226046,ile-de-france/paris/restaurant/le-pre-catelan,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/le-pre-catelan,"Michelin-starred restaurant in Paris, France"
taillevent,Taillevent,,,,8e,48.8741,2.30246,http://www.taillevent.com,http://www.wikidata.org/entity/Q2896230,ile-de-france/paris/restaurant/le-taillevent,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/le-taillevent,"restaurant in Paris, France"
tour-d-argent,Tour d'Argent,,,,5e,48.849883333,2.354888888,https://www.latourdargent.com/,http://www.wikidata.org/entity/Q1338260,ile-de-france/paris/restaurant/tour-d-argent,https://guide.michelin.com/fr/fr/ile-de-france/paris/restaurant/tour-d-argent,Parisian restaurant
